variant,runs,mean_val_loss,std_val_loss,mean_val_ce_loss,std_val_ce_loss,mean_val_perplexity,std_val_perplexity,mean_train_loss,mean_train_ce_loss,mean_val_conservation_loss,mean_val_drift_loss,mean_val_structural_energy,mean_parameter_count,best_seed,best_val_ce_loss
memory_core,3,0.0428074851554508,0.004150782127454708,0.0428074851554508,0.004150782127454708,1.0437459339502129,0.0043338004511809,0.06912825753291447,0.06912825753291447,0.004116755730380343,0.0,0.3629012987017632,1292928.0,44,0.03796415708493441
persistent_core,3,0.04440200690490504,0.0020589508112844566,0.04440200690490504,0.0020589508112844566,1.045404746318338,0.0021538618985513175,0.06575385232766469,0.06575385232766469,0.004736902452593009,0.0,0.41365507071216906,1292928.0,42,0.04260424871463329
svf,3,0.0450699431123212,0.002933460594128705,0.045025812337795894,0.0029336666565540188,1.046059362663166,0.003069391240001895,0.06705037007729213,0.06702933460474014,0.0039249336969078286,0.004881424763395141,0.3530410322050253,1292928.0,44,0.0415726998122409
baseline,3,0.13496392263720433,0.0012684134774934197,0.13496392263720433,0.0012684134774934197,1.1444964141349165,0.0014522465668791726,0.16922240455945334,0.16922240455945334,0.0,0.0,0.0,1060736.0,42,0.1337954245507717
memory,3,0.15390390940010548,0.0028099326852140606,0.15390390940010548,0.0028099326852140606,1.166383411067404,0.003280662967431068,0.16556074718634287,0.16556074718634287,0.0,0.0,0.0,1060736.0,43,0.1517281958833337
