variant,seed,steps,tokenizer,train_tokens,val_tokens,parameter_count,final_train_loss,final_train_ce_loss,final_val_loss,final_val_ce_loss,final_val_perplexity,final_val_conservation_loss,final_val_drift_loss,final_val_structural_energy,checkpoint_path,best_checkpoint_path
baseline,42,15000,bpe,3422909,183261,1390608,0.14128363132476807,0.14128363132476807,0.13648277446627616,0.13648277446627616,1.1462351330937708,0.0,0.0,0.0,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\baseline_seed42_final.pt,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\baseline_seed42_best.pt
persistent_core,42,15000,bpe,3422909,183261,1359744,0.1295807957649231,0.1295807957649231,0.11878158561885357,0.11878158561885357,1.1261239297644015,0.3301753491163254,0.0,0.587865686416626,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\persistent_core_seed42_final.pt,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\persistent_core_seed42_best.pt
svf,42,15000,bpe,3422909,183261,1359744,0.12552635371685028,0.1253989040851593,0.11409330330789089,0.11394685097038745,1.1206925595792123,0.014019058924168349,0.006261646491475403,0.16416653096675873,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\svf_seed42_final.pt,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\svf_seed42_best.pt
baseline,43,15000,bpe,3422909,183261,1390608,0.14265233278274536,0.14265233278274536,0.1341564789414406,0.1341564789414406,1.1435717505418093,0.0,0.0,0.0,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\baseline_seed43_final.pt,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\baseline_seed43_best.pt
persistent_core,43,15000,bpe,3422909,183261,1359744,0.13101980090141296,0.13101980090141296,0.12190910503268242,0.12190910503268242,1.1296514174849739,0.35440512001514435,0.0,0.6065583050251007,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\persistent_core_seed43_final.pt,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\persistent_core_seed43_best.pt
svf,43,15000,bpe,3422909,183261,1359744,0.12616711854934692,0.12605397403240204,0.11877538822591305,0.11860756501555443,1.1259279780490667,0.016113012470304965,0.00669392968993634,0.17520788982510566,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\svf_seed43_final.pt,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\svf_seed43_best.pt
baseline,44,15000,bpe,3422909,183261,1390608,0.14577578008174896,0.14577578008174896,0.13851724490523337,0.13851724490523337,1.148569488371376,0.0,0.0,0.0,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\baseline_seed44_final.pt,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\baseline_seed44_best.pt
persistent_core,44,15000,bpe,3422909,183261,1359744,0.13050806522369385,0.13050806522369385,0.1161688007414341,0.1161688007414341,1.1231854506691468,0.2310158960521221,0.0,0.4950893521308899,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\persistent_core_seed44_final.pt,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\persistent_core_seed44_best.pt
svf,44,15000,bpe,3422909,183261,1359744,0.12470804899930954,0.12461355328559875,0.11160128675401211,0.1115107387304306,1.1179657494738833,0.008487594733014702,0.0056728500640019774,0.14649567976593972,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\svf_seed44_final.pt,outputs\experiments\phaseD_long_context_formal\prose\seq_1024\checkpoints\svf_seed44_best.pt
