delay_tokens,variant,seed,trace_count,slot_count,slot_usage_entropy,normalized_slot_usage_entropy,dominant_slot_fraction,mean_slot_routing_entropy,mean_offdiag_cosine,max_offdiag_cosine,min_offdiag_cosine,mean_slot_norm_std,mean_core_norm
1024,baseline,42,4,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,baseline,43,4,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,baseline,44,4,4,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,core_dynamics,42,4,4,-0.0,-0.0,1.0,0.0,0.9999908588077063,0.9999973133031891,0.9999792506373324,0.0005050239051670419,11.71950364112854
1024,core_dynamics,43,4,4,-0.0,-0.0,1.0,0.0,0.999994473626538,0.9999974059602074,0.9999905299092564,0.0009655462084255616,11.726805210113525
1024,core_dynamics,44,4,4,-0.0,-0.0,1.0,0.0,0.9999930728229726,0.9999997473151376,0.9999835689729274,0.0008942373749529493,11.719329595565796
1024,persistent_core,42,4,4,-0.0,-0.0,1.0,0.0,0.9999999685492479,0.999999974040691,0.9999999621324028,0.0003867386233466557,11.21207857131958
1024,persistent_core,43,4,4,-0.0,-0.0,1.0,0.0,0.9999888065620701,0.9999986018332097,0.9999736061891286,0.0004177473102700707,11.100656032562256
1024,persistent_core,44,4,4,-0.0,-0.0,1.0,0.0,0.999992289540943,0.9999998357415826,0.9999812309613126,0.00033840909902423837,11.187057733535767
1024,svf,42,4,4,-0.0,-0.0,1.0,0.0,0.9997533124800239,0.9997978604335663,0.999709591664298,0.005413793464063413,6.256571888923645
1024,svf,43,4,4,-0.0,-0.0,1.0,0.0,0.9997673153518499,0.9997829967329748,0.9997543611409604,0.021611498483199834,6.378479838371277
1024,svf,44,4,4,-0.0,-0.0,1.0,0.0,0.9997243519973215,0.9997640513123737,0.9996836428994677,0.013580901312725872,6.307867527008057
