variant,runs,mean_val_loss,std_val_loss,mean_val_ce_loss,std_val_ce_loss,mean_val_perplexity,std_val_perplexity,mean_train_loss,mean_train_ce_loss,mean_val_conservation_loss,mean_val_drift_loss,mean_val_structural_energy,mean_parameter_count,best_seed,best_val_ce_loss
svf,3,0.029752449970692398,0.00023154892418450186,0.029457673120001953,0.0002514188861515883,1.0298958748238436,0.00025895490364971353,0.04395370309551557,0.04373053088784218,0.028718031973888475,0.007596546395992239,0.19200618714094161,1245056.0,43,0.029226821009069683
memory_core,3,0.03221375700086355,0.0001307765911581977,0.03221375700086355,0.0001307765911581977,1.032738245572345,0.00013506114222204782,0.04741055021683375,0.04741055021683375,0.06684518232941628,0.0,0.26979558194677034,1245056.0,44,0.03207232318818569
persistent_core,3,0.032485509663820265,0.0014374637615721685,0.032485509663820265,0.0014374637615721685,1.0330199917225527,0.0014853741130480432,0.045527675499518715,0.045527675499518715,0.06693322403977314,0.0,0.26987472251057626,1245056.0,44,0.030976547580212354
baseline,3,0.1591370016336441,0.000597104781607305,0.1591370016336441,0.000597104781607305,1.1724987789311803,0.0007001856254632251,0.1659147044022878,0.1659147044022878,0.0,0.0,0.0,1261584.0,43,0.15850052535533904
