variant,seed,steps,tokenizer,train_tokens,val_tokens,parameter_count,final_train_loss,final_train_ce_loss,final_val_loss,final_val_ce_loss,final_val_perplexity,final_val_conservation_loss,final_val_drift_loss,final_val_structural_energy,checkpoint_path,best_checkpoint_path
baseline,42,1,char,9963355,523090,104040,22.19451904296875,22.19451904296875,22.292579460144044,22.292579460144044,485165195.4097903,0.0,0.0,0.0,,
persistent_core,42,1,char,9963355,523090,97664,18.318395614624023,18.318395614624023,19.901832580566406,19.901832580566406,439800855.1837825,8.82584965438582e-05,0.0,0.009600877505727112,,
memory_core,42,1,char,9963355,523090,97664,18.318395614624023,18.318395614624023,19.901832580566406,19.901832580566406,439800855.1837825,8.82584965438582e-05,0.0,0.009600877505727112,,
svf,42,1,char,9963355,523090,97664,18.32019805908203,18.32019805908203,19.90651035308838,19.906509780883788,441862709.97838783,7.751367702439893e-05,0.00036628112284233796,0.009025464206933976,,
