delay_tokens,variant,runs,mean_val_ce_loss,std_val_ce_loss,mean_answer_token_accuracy,std_answer_token_accuracy,mean_answer_exact_accuracy,std_answer_exact_accuracy,mean_parameter_count
16,persistent_core,1,46.5789909362793,0.0,0.1,0.0,0.0,0.0,1124096.0
16,baseline,1,50.2104606628418,0.0,0.1,0.0,0.0,0.0,1125504.0
