variant,seed,steps,tokenizer,train_tokens,val_tokens,parameter_count,final_train_loss,final_train_ce_loss,final_val_loss,final_val_ce_loss,final_val_perplexity,final_val_conservation_loss,final_val_drift_loss,final_val_structural_energy,checkpoint_path,best_checkpoint_path
baseline,42,1,char,246,26,23808,20.10795783996582,20.10795783996582,20.6494140625,20.6494140625,485165195.4097903,0.0,0.0,0.0,,
svf,42,1,char,246,26,38848,20.15557861328125,20.15557861328125,20.537681579589844,20.537681579589844,485165195.4097903,9.80096865532687e-06,0.00038625861634500325,0.0036229826509952545,,
baseline,43,1,char,246,26,23808,20.037796020507812,20.037796020507812,19.781776428222656,19.781776428222656,390046463.91012335,0.0,0.0,0.0,,
svf,43,1,char,246,26,38848,19.55722999572754,19.55722999572754,19.566360473632812,19.566360473632812,314457809.36179084,3.7910307582933456e-05,0.0007889661355875432,0.006420367397367954,,
