variant,seed,steps,tokenizer,train_tokens,val_tokens,parameter_count,final_train_loss,final_train_ce_loss,final_val_loss,final_val_ce_loss,final_val_perplexity,final_val_conservation_loss,final_val_drift_loss,final_val_structural_energy,checkpoint_path,best_checkpoint_path
baseline,42,2,char,246,26,23840,20.23486328125,20.23486328125,20.664480209350586,20.664480209350586,485165195.4097903,0.0,0.0,0.0,,
svf,42,2,char,246,26,38880,19.8984375,19.8984375,20.454683303833008,20.454683303833008,485165195.4097903,8.591898949816823e-05,0.00044300573063082993,0.009593989700078964,,
baseline,43,2,char,246,26,23840,17.41069221496582,17.41069221496582,17.515798568725586,17.515798568725586,40458955.29670617,0.0,0.0,0.0,,
svf,43,2,char,246,26,38880,17.411643981933594,17.411643981933594,17.57105255126953,17.57105255126953,42757387.74946185,8.248710946645588e-05,0.0005718075553886592,0.009315138682723045,,
