variant,runs,mean_val_loss,std_val_loss,mean_val_ce_loss,std_val_ce_loss,mean_val_perplexity,std_val_perplexity,mean_train_loss,mean_train_ce_loss,mean_val_conservation_loss,mean_val_drift_loss,mean_val_structural_energy,mean_parameter_count,best_seed,best_val_ce_loss
svf,3,0.04365419117578615,0.004622248888898149,0.04338004591797168,0.004614234549982952,1.0443458208207546,0.004811456233049559,0.07484434296687444,0.07457047452529271,0.026722392905503514,0.006921222433447838,0.18986180474360784,1292928.0,43,0.03689975751331076
baseline,3,0.1356080879767736,0.002316159649670773,0.1356080879767736,0.002316159649670773,1.1452360455160746,0.002650730512421641,0.1709295262893041,0.1709295262893041,0.0,0.0,0.0,1315440.0,44,0.132393778860569
