variant,seed,steps,tokenizer,train_tokens,val_tokens,parameter_count,final_train_loss,final_train_ce_loss,final_val_loss,final_val_ce_loss,final_val_perplexity,final_val_conservation_loss,final_val_drift_loss,final_val_structural_energy,checkpoint_path,best_checkpoint_path
baseline,42,1,char,9957361,528486,24416,19.62920570373535,19.62920570373535,16.167850494384766,16.167850494384766,10510134.019451926,0.0,0.0,0.0,,
persistent_core,42,1,char,9957361,528486,39456,19.711814880371094,19.711814880371094,16.218751907348633,16.218751907348633,11058964.315884242,4.416031515575014e-05,0.0,0.007004868239164352,,
memory_core,42,1,char,9957361,528486,39456,19.711814880371094,19.711814880371094,16.218751907348633,16.218751907348633,11058964.315884242,4.416031515575014e-05,0.0,0.007004868239164352,,
svf,42,1,char,9957361,528486,39456,19.702333450317383,19.702333450317383,16.2138671875,16.2138671875,11005076.094966177,4.528830322669819e-05,0.00034961645724251866,0.007090406492352486,,
