task_type,delay_tokens,variant,seed,steps,parameter_count,final_train_loss,final_val_loss,final_val_ce_loss,final_answer_token_accuracy,final_answer_exact_accuracy,final_val_structural_energy,final_val_drift_loss,final_core_norm_mean,final_core_slot_norm_std,final_attractor_distance,final_slot_diversity_loss,core_trace_path
multi_entity,512,specialized_core,42,3000,1222400,4.031471252441406,4.030641496181488,4.030641496181488,0.224609375,0.033203125,0.2482977183535695,0.0,3.2506179064512253,5.318595260381699,0.49829481169581413,2.727203863628347e-06,outputs\experiments\phaseF_specialized_formal\level1\core_traces\delay512_specialized_core_seed42.json
multi_entity,512,specialized_core_dynamics,42,3000,1222400,4.031646251678467,4.030626147985458,4.030626147985458,0.228515625,0.03515625,0.2828790210187435,0.007973318686708808,3.854211524128914,5.335862010717392,0.500616792589426,2.117952966784742e-06,outputs\experiments\phaseF_specialized_formal\level1\core_traces\delay512_specialized_core_dynamics_seed42.json
multi_entity,512,specialized_core,43,3000,1222400,4.030309677124023,4.0298639833927155,4.0298639833927155,0.2880859375,0.083984375,0.24816545005887747,0.0,3.252931669354439,5.314585328102112,0.49816206842660904,4.5934464338870384e-06,outputs\experiments\phaseF_specialized_formal\level1\core_traces\delay512_specialized_core_seed43.json
multi_entity,512,specialized_core_dynamics,43,3000,1222400,4.0297393798828125,4.028772234916687,4.028772234916687,0.3642578125,0.146484375,0.27979414351284504,0.008424235333222896,3.8423254042863846,5.2978217005729675,0.49834529869258404,9.245145804470667e-06,outputs\experiments\phaseF_specialized_formal\level1\core_traces\delay512_specialized_core_dynamics_seed43.json
multi_entity,512,specialized_core,44,3000,1222400,4.030909061431885,4.028840392827988,4.028840392827988,0.3046875,0.095703125,0.24376391991972923,0.0,3.1604083329439163,5.318345665931702,0.49372454173862934,7.811627625642359e-06,outputs\experiments\phaseF_specialized_formal\level1\core_traces\delay512_specialized_core_seed44.json
multi_entity,512,specialized_core_dynamics,44,3000,1222400,4.030592918395996,4.028622001409531,4.028622001409531,0.2998046875,0.091796875,0.28121788054704666,0.0075067823636345565,3.8636775463819504,5.300048351287842,0.5001381449401379,1.0355202675782493e-05,outputs\experiments\phaseF_specialized_formal\level1\core_traces\delay512_specialized_core_dynamics_seed44.json
