variant,runs,mean_val_loss,std_val_loss,mean_val_ce_loss,std_val_ce_loss,mean_val_perplexity,std_val_perplexity,mean_train_loss,mean_train_ce_loss,mean_val_conservation_loss,mean_val_drift_loss,mean_val_structural_energy,mean_parameter_count,best_seed,best_val_ce_loss
svf,3,0.015018219555107256,0.0008019590957704149,0.01476761397207156,0.0008082002285686739,1.014877525407299,0.000820314513175883,0.02583687814573447,0.025596904878815014,0.024238695017993448,0.008218700997531414,0.1740152023732662,1244416.0,44,0.013861566246487201
persistent_core,3,0.01717219363199547,0.0006825401908522517,0.01717219363199547,0.0006825401908522517,1.0173207203352643,0.0006944382163638829,0.02448130709429582,0.02448130709429582,0.06944415532052517,0.0,0.2729825926323732,1244416.0,44,0.01642195553286001
memory_core,3,0.01717819011149307,0.0004771355228500684,0.01717819011149307,0.0004771355228500684,1.0173266995018018,0.0004853255332522835,0.024736580749352772,0.024736580749352772,0.06942039554317793,0.0,0.2728658599158128,1244416.0,44,0.01650779398623854
baseline,3,0.10169903946419556,0.0026353967063083308,0.10169903946419556,0.0026353967063083308,1.10705408991204,0.0029201969594558237,0.11675004412730534,0.11675004412730534,0.0,0.0,0.0,1260864.0,44,0.09964705035090446
