delay_tokens,variant,runs,mean_val_ce_loss,std_val_ce_loss,mean_answer_token_accuracy,std_answer_token_accuracy,mean_answer_exact_accuracy,std_answer_exact_accuracy,mean_parameter_count
128,persistent_core,3,3.727414275209109,0.0009624309554464742,1.0,0.0,1.0,0.0,1138432.0
128,baseline,3,3.7295655012130737,0.0015714872763487558,1.0,0.0,1.0,0.0,1141632.0
256,persistent_core,3,3.9276535411675773,0.0007137369494410723,1.0,0.0,1.0,0.0,1154816.0
256,baseline,3,3.9300402402877808,0.00018908366980396966,1.0,0.0,1.0,0.0,1160064.0
512,persistent_core,3,4.039618710676829,0.00013883580552706535,1.0,0.0,1.0,0.0,1187584.0
512,baseline,3,4.040804594755173,0.0006173552720311904,1.0,0.0,1.0,0.0,1196928.0
1024,persistent_core,3,4.098932911952336,0.00019467642608640833,1.0,0.0,1.0,0.0,1253120.0
1024,baseline,3,4.105770876010259,0.004172992600211964,0.542578125,0.3400907567385659,0.3346354166666667,0.4704865115055697,1270656.0
